# To display the perf.data header info, please use --header/--header-only options.
#
# dso: main
#
# Total Lost Samples: 0
#
# Samples: 119K of event 'cycles:u'
# Event count (approx.): 109176193282
#
# Overhead  Command  Symbol                                                                                                                                                                                                       
# ........  .......  .............................................................................................................................................................................................................
#
     0.01%  main     [.] std::__detail::__mod<unsigned long, 2147483647ul, 16807ul, 0ul>
     0.01%  main     [.] std::_Vector_base<LLcol, std::allocator<LLcol> >::_Vector_impl::~_Vector_impl
     0.01%  main     [.] std::__distance<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >
     0.01%  main     [.] __gnu_cxx::new_allocator<LLcol>::deallocate
     0.01%  main     [.] __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator*
     0.01%  main     [.] __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base
     0.01%  main     [.] std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<LLcol const*, std::vector<LLcol, std::allocator<LLcol> > >, LLcol*>
     0.01%  main     [.] operator delete@plt
     0.01%  main     [.] std::_Vector_base<LLcol, std::allocator<LLcol> >::_M_deallocate
     0.01%  main     [.] __gnu_cxx::new_allocator<LLord>::max_size
     0.01%  main     [.] __gnu_cxx::new_allocator<LLcol>::new_allocator
     0.01%  main     [.] std::_Vector_base<LLord, std::allocator<LLord> >::_Vector_base
     0.01%  main     [.] std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator
     0.01%  main     [.] std::min<unsigned long>
     0.01%  main     [.] std::_Destroy<LLcol*>
     0.00%  main     [.] std::allocator_traits<std::allocator<double> >::_S_construct<double, double>
     0.00%  main     [.] std::allocator_traits<std::allocator<double> >::construct<double, double>
     0.00%  main     [.] std::_Iter_base<LLcol*, false>::_S_base
     0.00%  main     [.] memmove@plt
     0.00%  main     [.] std::uniform_real_distribution<double>::param_type::a
     0.00%  main     [.] std::_Destroy<int*, int>
